K_over_S,t_25,t_101,t_197,t_274,t_523,t_772,t_1000,t_1500,t_1769
1.62,0.400391559619592,0.247941310546696,0.221586523489447,0.200541422696427,0.180864814559906,0.169568393036335,0.162462386780915,0.16457605673236,0.179206254180923
1.63,0.402107810630949,0.248725129267973,0.222151570183318,0.200879747432583,0.181071958926988,0.169574550618926,0.162331414787825,0.164475671553186,0.179093555769663
1.64,0.403791759851651,0.249495821713672,0.222708278982925,0.201214001165423,0.181279014326613,0.169584433438146,0.162206699653793,0.164381423815807,0.178984980955316
1.65,0.405444273696684,0.250253653993426,0.223256753880455,0.201544174662745,0.181485803343814,0.16959774671598,0.162087878804927,0.164292844028146,0.178879846550705
1.66,0.407066185627989,0.250998886773376,0.223797101150149,0.201870264866855,0.181692163161087,0.169614214921052,0.161974610063076,0.164209465781802,0.178777446917865
1.67,0.408658297829461,0.251731775251166,0.224329428856264,0.202192274249563,0.181897944154592,0.169633579813393,0.161866569523543,0.164130820759347,0.178677046256475
1.68,0.410221382773996,0.252452569155318,0.224853846416057,0.202510210227061,0.182103008526477,0.169655598482041,0.161763449366053,0.164056433116786,0.178577869976871
1.69,0.411756184691037,0.253161512765131,0.225370464210137,0.202824084626949,0.182307228933328,0.169680041313621,0.16166495552702,0.163985813084472,0.178479094975937
1.7,0.413263420942336,0.253858844947683,0.225879393232545,0.203133913199496,0.18251048706023,0.169706689814018,0.161570805141762,0.163918449597712,0.178379838597887
1.71,0.414743783312834,0.254544799209104,0.226380744772248,0.203439715164359,0.18271267207468,0.169735334182875,0.161480723638925,0.163853801728219,0.178279146016282
1.72,0.416197939223103,0.255219603757568,0.226874630116073,0.203741512782053,0.182913678872445,0.169765770509756,0.161394441333968,0.163791288637186,0.178175975715694
1.73,0.417626532869027,0.255883481575833,0.227361160260025,0.204039330935955,0.183113405996119,0.169797797418446,0.161311689320774,0.163730277706985,0.178069182677324
1.74,0.419030186294173,0.256536650501267,0.22784044561024,0.204333196704492,0.183311753062491,0.169831211927811,0.1612321943963,0.16367007042716,0.177957498777283
1.75,0.420409500399509,0.257179323311401,0.228312595645194,0.204623138892662,0.183508617471822,0.169865804218361,0.161155672666929,0.16360988550569,0.177839509781697
1.76,0.42176505589499,0.257811707812705,0.228777718494382,0.204909187474653,0.183703890083208,0.169901350885285,0.161081821369044,0.16354883854031,0.177713628158961
1.77,0.423097414197132,0.25843400692959,0.229235920361252,0.205191372870265,0.183897449414645,0.169937606110484,0.161010308279722,0.163485917405576,0.177578060711629
1.78,0.424407118276022,0.259046418788624,0.229687304672314,0.205469724930016,0.184089153749152,0.169974289982814,0.160940757881369,0.163419952272735,0.177430769737449
1.79,0.425694693455247,0.25964913678883,0.230131970758035,0.205744271424666,0.184278830277622,0.170011072916151,0.16087273315563,0.163349578857211,0.177269426030247
1.8,0.426960648167318,0.2602423496401,0.230570011744141,0.20601503570463,0.184466260053549,0.170047554728183,0.160805711487075,0.163273193046878,0.177091351481367
1.81,0.428205474666509,0.26082624133313,0.23100151112072,0.206282032979779,0.184651157028818,0.170083236404863,0.16073905261191,0.16318889444926,0.176893448273057
1.82,0.429429649698414,0.261400990965468,0.231426537105263,0.206545264315931,0.184833138715613,0.170117481819966,0.160671955786174,0.163094415524822,0.176672110562434
1.83,0.430633635120667,0.261966772267403,0.231845133331321,0.20680470685988,0.185011684975357,0.170149465606196,0.160603402271177,0.162987031716962,0.176423112976357
1.84,0.431817878454147,0.262523752502692,0.232257303420956,0.207060297839744,0.185186079914474,0.170178101827303,0.160532077684169,0.162863446140964,0.176141467915167
1.85,0.432982813306333,0.263072090067923,0.232662985375843,0.207311908291073,0.185355329619606,0.170201945827777,0.160456266483841,0.162719639615973,0.175821240175893
1.86,0.434128859504135,0.263611929382357,0.233062009007161,0.20755929981098,0.185518045083813,0.170219058218916,0.160373707426211,0.162550672549597,0.175455302047705
1.87,0.435256422495358,0.264143390135009,0.233454025066979,0.20780205322989,0.185672274465626,0.17022681467395,0.160281393496441,0.162350418434881,0.175035003588242
1.88,0.436365890825742,0.264666544775963,0.233838387040091,0.208039450682143,0.185815260552024,0.170221636754852,0.16017529126776,0.16211119774582,0.174549719091015
1.89,0.437457628469467,0.265181371503337,0.2342139533894,0.208270279970451,0.185943085676363,0.170198604960867,0.160049940380393,0.161823262578645,0.173986207788363
1.9,0.4385319533173,0.265687656123268,0.234578755144806,0.208492508325109,0.186050142915599,0.170150890856388,0.159897869039193,0.16147405020594,0.17332768684561
1.91,0.439589078348033,0.266184787038643,0.234929432757681,0.20870273379267,0.186128330005544,0.170068900831285,0.159708716207723,0.161047065016964,0.172552441933117
1.92,0.440628952080588,0.26667132600537,0.235260269691415,0.208895250047602,0.186165781130169,0.169938938759373,0.159467864079355,0.160520135546034,0.171631661173453
1.93,0.441650826775504,0.267144104768792,0.235561498513802,0.209060416617197,0.186144785015117,0.169741019652949,0.159154205592093,0.159862562647219,0.170525893664719
1.94,0.442652088264757,0.267596303126827,0.235816227804251,0.20918171569469,0.18603816740604,0.16944507755325,0.158736275194282,0.159030165621325,0.169178907036536
1.95,0.443625065677361,0.268013266368883,0.235994549692911,0.209230127278477,0.185802508626051,0.169003859843864,0.158165002441915,0.157955994960181,0.167506199073888
1.96,0.444548183795799,0.268362968384663,0.236041206179813,0.209152379533704,0.18536404356172,0.168338161446037,0.157358664455012,0.156531066752069,0.165371243046871
1.97,0.445360259933823,0.268572101940822,0.23584594828342,0.208842743936951,0.184584740791977,0.167301342221837,0.156166769601816,0.15455828481754,0.162528913664598
1.98,0.445875889741501,0.268453510192811,0.235154366106928,0.208058261059136,0.183160169367187,0.165572749529928,0.154261785532738,0.15161518350045,0.158457909026707
1.99,0.445391865231798,0.267375210273763,0.233159909960729,0.206031411770001,0.180154708261492,0.162174855757356,0.150650132495608,0.1464405620828,0.151618056084338
2,0.109490332008122,0.0189806640162437,0.0189806640162437,0.0189806640162437,0.0189806640162437,0.0189806640162437,0.0115503256067996,0.00759662552447575,0.00220757449899957
